time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,u1,u2,u3,u4,u5,u6,q1_cmd,q2_cmd,q3_cmd,q4_cmd,q5_cmd,q6_cmd,track_err,dt,dq
0.0,0.35,-0.52,-136.75,-0.43,0.35,0.26,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-136.0,0.0,0.0,0.0,0.75,,
0.0689,0.35,-0.52,-136.75,-0.43,0.35,0.26,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-135.4313,0.0,0.0,0.0,1.319,0.0689,0.0
0.134,0.35,-0.52,-136.75,-0.43,0.35,0.26,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-134.8602,0.0,0.0,0.0,1.89,0.0651,0.0
0.1991,0.35,-0.52,-136.75,-0.43,0.35,0.26,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,-134.2588,0.0,0.0,0.0,2.491,0.0651,0.0
0.2643,0.35,-0.52,-136.31,-0.43,0.35,0.26,0.0,0.0,8.40892,0.0,0.0,0.0,0.0,0.0,7.51241,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,-133.6255,0.0,0.0,0.0,2.684,0.0652,0.44
0.3295,0.35,-0.52,-135.43,-0.43,0.35,0.26,0.0,0.0,8.89573,0.0,0.0,0.0,0.0,0.0,7.40738,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,-132.9634,0.0,0.0,0.0,2.467,0.0652,0.88
0.3989,0.35,-0.52,-134.73,-0.43,0.35,0.26,0.0,0.0,9.40346,0.0,0.0,0.0,0.0,0.0,7.21033,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,-132.2284,0.0,0.0,0.0,2.502,0.0694,0.7
0.4641,0.43,-0.52,-134.56,-0.43,0.35,0.26,0.0,0.0,9.8654,0.0,0.0,0.0,0.0,0.0,6.94716,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,-131.5107,0.0,0.0,0.0,3.049,0.0652,0.17
0.5293,0.35,-0.52,-133.76,-0.43,0.35,0.26,0.0,0.0,10.30779,0.0,0.0,0.0,0.0,0.0,6.61119,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-130.7692,0.0,0.0,0.0,2.991,0.0652,0.8
0.5945,0.43,-0.52,-133.15,-0.43,0.35,0.26,0.0,0.0,10.72599,0.0,0.0,0.0,0.0,0.0,6.20593,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,-130.0062,0.0,0.0,0.0,3.144,0.0652,0.61
0.6597,0.35,-0.52,-132.01,-0.43,0.35,0.26,0.0,0.0,11.11563,0.0,0.0,0.0,0.0,0.0,5.73563,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,-129.2236,0.0,0.0,0.0,2.786,0.0652,1.14
0.7288,0.35,-0.52,-131.3,-0.43,0.35,0.26,0.0,0.0,11.49285,0.0,0.0,0.0,0.0,0.0,5.17171,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,-128.3759,0.0,0.0,0.0,2.924,0.0691,0.71
0.794,0.43,-0.52,-130.86,-0.43,0.35,0.26,0.0,0.0,11.81115,0.0,0.0,0.0,0.0,0.0,4.58369,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,-127.5634,0.0,0.0,0.0,3.297,0.0652,0.44
0.8592,0.35,-0.52,-130.25,-0.43,0.35,0.26,0.0,0.0,12.08952,0.0,0.0,0.0,0.0,0.0,3.94762,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,-126.7407,0.0,0.0,0.0,3.509,0.0652,0.61
0.9244,0.35,-0.61,-129.19,-0.43,0.35,0.26,0.0,0.0,12.32502,0.0,0.0,0.0,0.0,0.0,3.27019,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,-125.9108,0.0,0.0,0.0,3.279,0.0652,1.06
0.9896,0.35,-0.61,-128.05,-0.43,0.35,0.26,0.0,0.0,12.51521,0.0,0.0,0.0,0.0,0.0,2.55848,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,-125.0777,0.0,0.0,0.0,2.972,0.0652,1.14
1.0588,0.35,-0.61,-127.35,-0.43,0.35,0.26,0.0,0.0,12.66526,0.0,0.0,0.0,0.0,0.0,1.77395,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,-124.1916,0.0,0.0,0.0,3.158,0.0692,0.7
1.124,0.43,-0.61,-126.82,-0.43,0.35,0.26,0.0,0.0,12.75627,0.0,0.0,0.0,0.0,0.0,1.01545,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,-123.3605,0.0,0.0,0.0,3.46,0.0652,0.53
1.1892,0.35,-0.61,-126.12,-0.43,0.35,0.26,0.0,0.0,12.79744,0.0,0.0,0.0,0.0,0.0,0.2463,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,-122.5356,0.0,0.0,0.0,3.584,0.0652,0.7
