idx,arrived,pos_err_deg,dir_spread,q1,q2,q3,q4,q5,q6,q1_cmd,q2_cmd,q3_cmd,q4_cmd,q5_cmd,q6_cmd,load2,load3,load4,load5,load6,load2_up,load3_up,load4_up,load5_up,load6_up,load2_dn,load3_dn,load4_dn,load5_dn,load6_dn
22,1,0.73,8.0,77.78,46.75,-69.78,-76.9,26.45,26.01,78.254,46.16,-69.049,-76.479,26.495,26.206,-28.0,-36.0,16.0,-4.0,-4.0,-32.0,-32.0,16.0,-8.0,-8.0,-24.0,-40.0,16.0,0.0,0.0
23,1,0.7,16.0,44.29,-13.97,-2.28,-40.86,-48.25,29.0,44.811,-13.273,-1.696,-40.506,-48.089,29.234,44.0,-24.0,16.0,-8.0,0.0,40.0,-24.0,16.0,-16.0,0.0,48.0,-24.0,16.0,0.0,0.0
24,1,1.41,32.0,-80.59,-89.2,69.08,-62.66,-20.47,-43.59,-80.182,-87.787,69.705,-62.259,-20.227,-43.365,96.0,-32.0,16.0,-4.0,-4.0,80.0,-32.0,16.0,-8.0,-8.0,112.0,-32.0,16.0,0.0,0.0
25,0,1.57,174.5,-84.19,-85.95,12.56,58.53,58.71,-43.85,-83.877,-84.381,13.462,58.909,58.973,-43.685,16.75,-56.0,4.583333333333333,0.0,0.0,104.0,-56.0,0.0,0.0,0.0,-70.5,-56.0,9.166666666666666,0.0,0.0
26,1,0.59,2.7,13.44,-26.63,47.28,20.39,54.84,-4.04,13.908,-26.23,46.837,20.284,55.044,-3.847,16.0,24.0,-13.5,0.0,0.0,16.0,24.0,-14.833333333333334,0.0,0.0,16.0,24.0,-12.166666666666666,0.0,0.0
27,0,1.59,182.5,67.93,80.59,-5.53,56.42,85.25,40.95,68.301,79.092,-6.374,55.951,85.511,41.222,-20.75,56.0,-16.0,0.0,0.0,70.5,56.0,-16.0,0.0,0.0,-112.0,56.0,-16.0,0.0,0.0
28,1,0.6,8.0,40.07,-7.82,3.33,57.3,33.13,-29.7,40.534,-7.523,3.135,56.852,33.444,-29.482,14.0,12.0,-16.0,4.0,0.0,13.333333333333334,10.666666666666666,-16.0,0.0,0.0,14.666666666666666,13.333333333333334,-16.0,8.0,0.0
29,1,1.03,16.0,-18.98,7.03,-73.47,5.27,44.56,5.0,-18.53,7.676,-72.442,5.704,44.664,5.255,36.0,-56.0,16.0,-4.0,0.0,32.0,-48.0,16.0,-8.0,0.0,40.0,-64.0,16.0,0.0,0.0
30,0,1.64,167.8,43.41,-79.71,4.04,-75.41,-67.67,-75.93,43.728,-78.071,4.94,-75.081,-67.765,-75.73,20.083333333333332,-56.0,12.0,-8.0,-4.0,104.0,-56.0,9.166666666666666,-16.0,-8.0,-63.833333333333336,-56.0,14.833333333333334,0.0,0.0
31,1,1.12,16.0,29.61,16.87,66.0,-6.5,-85.86,-24.52,30.015,15.931,65.22,-7.003,-85.62,-24.278,-64.0,60.0,-16.0,-8.0,0.0,-72.0,64.0,-16.0,-16.0,0.0,-56.0,56.0,-16.0,0.0,0.0
32,1,1.41,40.0,-43.68,82.96,-84.37,67.41,-1.14,-80.06,-43.241,81.994,-84.742,66.957,-0.851,-79.899,-84.0,16.0,-16.0,4.0,0.0,-104.0,16.0,-16.0,0.0,0.0,-64.0,16.0,-16.0,8.0,0.0
33,1,0.9,16.0,65.56,29.09,14.15,-67.67,-86.3,50.18,65.969,28.27,13.703,-67.358,-86.132,50.394,-52.0,28.0,5.416666666666667,-8.0,0.0,-56.0,32.0,0.0,-16.0,0.0,-48.0,24.0,10.833333333333334,0.0,0.0
34,1,1.37,40.0,46.84,-74.61,-69.34,-92.54,3.95,80.77,47.202,-73.236,-68.858,-93.008,4.257,80.993,84.0,-16.0,-16.0,4.0,0.0,64.0,-16.0,-16.0,0.0,0.0,104.0,-16.0,-16.0,8.0,0.0
35,1,1.05,24.0,-68.02,7.11,97.99,-39.72,61.52,37.52,-67.528,6.335,97.256,-40.175,61.812,37.711,-52.0,52.0,-16.0,4.0,0.0,-64.0,56.0,-16.0,0.0,0.0,-40.0,48.0,-16.0,8.0,0.0
36,1,1.06,16.0,42.89,20.83,69.52,-57.21,-46.49,30.58,43.345,19.943,68.747,-57.592,-46.311,30.842,-64.0,52.0,-16.0,0.0,0.0,-72.0,56.0,-16.0,0.0,0.0,-56.0,48.0,-16.0,0.0,0.0
37,0,1.62,142.5,-0.08,58.44,63.19,-89.56,55.37,-55.63,0.279,57.346,62.566,-89.693,55.601,-55.401,-0.75,44.0,-9.416666666666668,0.0,0.0,70.5,48.0,-10.833333333333334,0.0,0.0,-72.0,40.0,-8.0,0.0,0.0
38,1,0.92,24.0,-37.52,56.07,-87.71,80.33,-83.4,87.36,-37.011,55.406,-87.255,79.973,-83.156,87.585,-44.0,-16.0,-16.0,-4.0,0.0,-56.0,-16.0,-16.0,-8.0,0.0,-32.0,-16.0,-16.0,0.0,0.0
39,1,1.33,32.0,80.24,-49.65,-81.56,-43.33,-88.85,74.53,80.716,-48.32,-80.833,-42.983,-88.706,74.721,88.0,-40.0,5.333333333333333,-8.0,0.0,72.0,-40.0,0.0,-16.0,0.0,104.0,-40.0,10.666666666666666,0.0,0.0
