time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6,u1,u2,u3,u4,u5,u6,q1_cmd,q2_cmd,q3_cmd,q4_cmd,q5_cmd,q6_cmd,track_err,dt,dq
0.0,0.35,-71.45,-0.87,-0.43,0.43,0.26,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0,1.45,,
0.068,0.35,-71.45,-0.87,-0.43,0.43,0.26,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,1.0,0.0,-69.4388,0.0,0.0,0.0,0.0,2.011,0.068,0.0
0.1332,0.43,-71.45,-0.87,-0.43,0.43,0.26,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,1.0,0.0,-68.868,0.0,0.0,0.0,0.0,2.582,0.0652,0.0
0.1984,0.35,-71.45,-0.87,-0.43,0.43,0.26,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.53982,0.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,1.0,0.0,-68.266,0.0,0.0,0.0,0.0,3.184,0.0652,0.0
0.2635,0.35,-71.45,-0.87,-0.43,0.43,0.26,0.0,8.40291,0.0,0.0,0.0,0.0,0.0,7.51321,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,1.0,0.0,-67.6338,0.0,0.0,0.0,0.0,3.816,0.0651,0.0
0.3287,0.43,-70.92,-0.87,-0.43,0.43,0.26,0.0,8.8898,0.0,0.0,0.0,0.0,0.0,7.40914,0.0,0.0,0.0,0.0,0.0,49.0,3.0,0.0,0.0,1.0,0.0,-66.9725,0.0,0.0,0.0,0.0,3.948,0.0652,0.53
0.3988,0.35,-70.13,-0.87,-0.43,0.43,0.26,0.0,9.40274,0.0,0.0,0.0,0.0,0.0,7.21068,0.0,0.0,0.0,0.0,0.0,37.0,3.0,0.0,0.0,1.0,0.0,-66.2293,0.0,0.0,0.0,0.0,3.901,0.0701,0.79
0.464,0.35,-69.78,-0.87,-0.43,0.43,0.26,0.0,9.86471,0.0,0.0,0.0,0.0,0.0,6.94762,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,0.0,1.0,0.0,-65.5121,0.0,0.0,0.0,0.0,4.268,0.0652,0.35
0.5291,0.43,-69.34,-0.87,-0.43,0.43,0.26,0.0,10.30647,0.0,0.0,0.0,0.0,0.0,6.61233,0.0,0.0,0.0,0.0,0.0,44.0,3.0,0.0,0.0,0.0,0.0,-64.7711,0.0,0.0,0.0,0.0,4.569,0.0651,0.44
0.5943,0.35,-68.46,-0.87,-0.43,0.43,0.26,0.0,10.72475,0.0,0.0,0.0,0.0,0.0,6.20727,0.0,0.0,0.0,0.0,0.0,41.0,3.0,0.0,0.0,1.0,0.0,-64.008,0.0,0.0,0.0,0.0,4.452,0.0652,0.88
0.6594,0.43,-67.32,-0.87,-0.43,0.43,0.26,0.0,11.11391,0.0,0.0,0.0,0.0,0.0,5.73794,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,0.0,1.0,0.0,-63.2274,0.0,0.0,0.0,0.0,4.093,0.0651,1.14
